sample	K00855	K01601	K01602	K14468	K08691	K14470	K09709	K15039	K15016	K15230	K15231	K03519	K03518	K00320	K14083	K00577	K03390	K05979	K06034	K08097	K13039	K10944	K00370	K00371	K00367	K00372	K00362	K00363	K00368	K15864	K04561	K02305	K00376	K00374	K02567	K02568	K00394	K00395	K11181	K00436	Genome.Size	Gene.Count	sample.y	station	filtersize	Date	Ocean	Depth	Longitude	Latitude	Salinity	T.pot	O2	AOU	WSDW	CDW	NADW_2	NADW_4.6	NADW	AAIW	SAMW	WATERMASS	Basin
MP1241	0.287234042553192	0.122340425531915	0.079787234042553	0	0.00531914893617	0	0.079787234042553	0	0	0	0	0.319148936170213	0.175531914893617	0	0.138297872340426	0	0	0	0	0	0	0	0	0	0	0.382978723404255	0.622340425531915	0.228723404255319	0.00531914893617	0	0	0.031914893617021	0	0	0	0	0.132978723404255	0.042553191489362	0	0	199581678	1049034	1241	67	0.8	11/03/11	Indic	-4004	110.18	-31.16	34.7202	0.9869	174.3169	165.5849	0.3648	0.519	0.1162	0	0.1162	0	0	CDW	South Australian basin
MP1374	0	0	0	0	0.017283950617284	0	0.051851851851852	0	0	0	0	0.254320987654321	0.175308641975309	0.012345679012346	0.301234567901235	0	0	0.133333333333333	0.012345679012346	0	0.022222222222222	0.279012345679012	0.091358024691358	0.02962962962963	0	0.298765432098765	0.580246913580247	0.108641975308642	0.387654320987654	0	0	0	0	0	0	0	0.145679012345679	0.032098765432099	0	0	239786334	1205108	1374	74	0.2	23/03/11	Indic	-3996	135.19	-39.23	34.722	0.9479	180.6806	159.555	0.3878	0.4793	0.133	0	0.133	0	0	CDW	South Australian basin
MP1434	0.022388059701493	0.020522388059702	0	0	0.011194029850746	0	0	0	0	0	0	0.098880597014925	0.011194029850746	0.031716417910448	0	0	0	0	0	0	0	0	0	0.01865671641791	0	0.026119402985075	0.097014925373134	0.020522388059702	0.005597014925373	0	0	0	0	0	0	0	0.102611940298507	0.01865671641791	0.009328358208955	0	611320884	3207852	1434	77	0.8	27/03/11	Indic	-4001	150.41	-38.64	34.716	0.8366	179.3173	161.9021	0.4419	0.4397	0.1185	0	0.1185	0	0	WSDW	South Australian basin
MP1482	0.024054982817869	0.027491408934708	0	0	0.017182130584192	0	0	0	0	0	0	0.106529209621993	0.061855670103093	0.089347079037801	0.015463917525773	0	0	0	0	0	0	0	0.056701030927835	0.029209621993127	0	0	0.13573883161512	0.097938144329897	0	0	0	0	0	0.008591065292096	0	0	0.161512027491409	0.032646048109966	0	0	709674858	3700758	1482	81	0.8	18/04/11	Pacific	-3501	179.1413	-28.4063	34.6818	1.5728	140.3662	194.6222	0.085	0.8598	0	0	0	0.0552	0	CDW	Fiji basin
MP1483	0	0	0	0	0.008888888888889	0.01037037037037	0.059259259259259	0	0.038518518518519	0	0	0.460740740740741	0.411851851851852	0.16	0.494814814814815	0	0	0.022222222222222	0.047407407407407	0.023703703703704	0.066666666666667	0.247407407407407	0.155555555555556	0.045925925925926	0	0	0.002962962962963	0.054814814814815	0.173333333333333	0	0	0	0	0	0	0	0.306666666666667	0.118518518518519	0	0	440240878	2216398	1483	81	0.2	18/04/11	Pacific	-3501	179.1413	-28.4063	34.6818	1.5728	140.3662	194.6222	0.085	0.8598	0	0	0	0.0552	0	CDW	Fiji basin
MP1493	0	0	0	0	0.222222222222222	0.008547008547009	0.034188034188034	0	0	0	0	0.547008547008547	0.273504273504274	1.42735042735043	0.025641025641026	0	0	0	0	0	0	0	0	0	0	0.094017094017094	1.83760683760684	1.37606837606838	0	0	0.034188034188034	0	0	0	0	0	0.17948717948718	0.05982905982906	0	0.034188034188034	412077766	2141008	1493	82	0.8	19/04/11	Pacific	-2150	-179.52	-25.49	34.6456	2.0126	139.1121	192.288	0	0.8562	0	0	0	0.118	0.0258	CDW	Out of basins
MP1494	0.018691588785047	0.014018691588785	0	0	0	0.009345794392523	0.011682242990654	0	0	0	0	0.167056074766355	0.164719626168224	0.066588785046729	0.169392523364486	0	0	0	0	0.019859813084112	0	0.003504672897196	0.033878504672897	0.003504672897196	0	0.014018691588785	0.015186915887851	0	0.01285046728972	0	0	0	0	0	0	0	0.093457943925234	0.022196261682243	0	0	362878846	1932944	1494	82	0.2	19/04/11	Pacific	-2150	-179.52	-25.49	34.6456	2.0126	139.1121	192.288	0	0.8562	0	0	0	0.118	0.0258	CDW	Out of basins
MP1648	0.015325670498084	0	0	0	0.03639846743295	0.026819923371648	0	0	0	0	0	0.076628352490422	0.118773946360153	0.362068965517241	0.084291187739464	0	0	0.001915708812261	0	0	0	0	0.013409961685824	0	0	0.047892720306513	0.478927203065134	0.256704980842912	0	0	0	0.022988505747126	0	0	0	0	0.021072796934866	0	0	0.120689655172414	435644082	2261933	1648	91	0.8	28/04/11	Pacific	-4018	-170.7407	-5.75	34.6955	1.1026	153.1939	185.7726	0.2929	0.6956	0	0	0	0.0115	0	CDW	Pacific basin
MP1649	0.019230769230769	0	0	0	0.101809954751131	0.010180995475113	0.10972850678733	0	0.007918552036199	0	0	0.503393665158371	0.441176470588235	0.25	0.395927601809955	0	0	0.066742081447964	0.01131221719457	0	0.096153846153846	0.176470588235294	0.115384615384615	0.031674208144796	0	0.176470588235294	0.334841628959276	0.178733031674208	0.386877828054299	0	0.009049773755656	0.021493212669683	0.005656108597285	0	0	0	0.178733031674208	0.067873303167421	0	0	797046927	4175360	1649	91	0.2	28/04/11	Pacific	-4018	-170.7407	-5.75	34.6955	1.1026	153.1939	185.7726	0.2929	0.6956	0	0	0	0.0115	0	CDW	Pacific basin
MP1787	0.031986531986532	0	0	0	0.075757575757576	0.042087542087542	0.016835016835017	0	0	0	0	0.2003367003367	0.151515151515152	0.2996632996633	0.181818181818182	0	0	0.067340067340067	0	0	0	0	0.074074074074074	0.021885521885522	0	0.17003367003367	0.631313131313131	0.30976430976431	0.018518518518519	0	0.015151515151515	0.058922558922559	0.008417508417508	0	0.04040404040404	0.01010101010101	0.045454545454546	0	0	0.037037037037037	448251236	2303680	1787	97	0.8	04/05/11	Pacific	-3818	-163.53	9.22	34.692	1.1537	142.4094	196.1259	0.2726	0.708	0	0	0	0.0194	0	CDW	Pacific basin
MP1788	0.00976290097629	0.00278940027894	0	0	0.087866108786611	0.02231520223152	0.107391910739191	0	0.02649930264993	0	0	0.393305439330544	0.379358437935844	0.225941422594142	0.404463040446304	0	0	0.087866108786611	0.054393305439331	0	0.078103207810321	0.209205020920502	0.152022315202232	0.048814504881451	0	0.182705718270572	0.352859135285914	0.135285913528591	0.253835425383543	0	0.00976290097629	0.02092050209205	0.00557880055788	0.00697350069735	0	0	0.214783821478382	0.078103207810321	0	0.01255230125523	669544334	3467900	1788	97	0.2	04/05/11	Pacific	-3818	-163.53	9.22	34.692	1.1537	142.4094	196.1259	0.2726	0.708	0	0	0	0.0194	0	CDW	Pacific basin
MP1896	0.067796610169492	0.047457627118644	0	0	0.138983050847458	0.110169491525424	0.167796610169492	0	0	0	0	0.589830508474576	0.323728813559322	0.420338983050847	0.345762711864407	0	0	0.030508474576271	0	0	0	0	0.167796610169492	0.047457627118644	0.005084745762712	0.271186440677966	0.683050847457627	0.511864406779661	0.113559322033898	0	0.03728813559322	0.054237288135593	0.049152542372881	0.011864406779661	0.116949152542373	0.03728813559322	0.045762711864407	0	0	0.232203389830509	392791023	1964922	1896	103	0.8	16/05/11	Pacific	-4013	-150.3192	21.0638	34.6888	1.162	134.3429	204.1289	0.2723	0.703	0	0	0	0.0248	0	CDW	Pacific basin
