taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Eukaryota,p:Excavata,c:Metamonada,o:Parabasalia		0	0	4360	0	0
d:Eukaryota,p:Excavata,c:Metamonada,o:Fornicata		0	0	4360	0	0
d:Eukaryota,p:Excavata,c:metagenome,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Excavata,c:Discoba,o:Jakobida	35.0000	0	35.0	4360	0	0
d:Eukaryota,p:Excavata,c:Discoba,o:Euglenozoa		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:uncultured,o:uncultured_Proteomonas	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:uncultured,o:uncultured_freshwater_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:uncultured,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:uncultured,o:uncultured_cryptophyte		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Kathablepharidae,o:uncultured		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Kathablepharidae,o:Leucocryptos		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Kathablepharidae,o:Katablepharis		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Goniomonas,o:Goniomonas_sp._SH-9		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Goniomonas,o:Goniomonas_sp._SH-8		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Goniomonas,o:Goniomonas_sp._SH-6		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Goniomonas,o:Goniomonas_avonlea		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:uncultured		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Teleaulax		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Rhodomonas	2.0000	0	2.0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Hemiselmis	2.0000	0	2.0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Cryptomonas		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Chroomonas_sp._M0851		0	0	4360	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Chroomonas	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Collodictyonidae,c:Diphylleia,o:Diphylleia_rotans	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Centrohelida,c:uncultured_eukaryote,o:uncultured_eukaryote	2.0000	0	2.0	4360	0	0
d:Eukaryota,p:Centrohelida,c:metagenome,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Centrohelida,c:Heterophryidae,o:Heterophrys		0	0	4360	0	0
d:Eukaryota,p:Centrohelida,c:H15-6,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Centrohelida,c:CV1-B1-93,o:uncultured_centroheliozoan		0	0	4360	0	0
d:Eukaryota,p:Centrohelida,c:Acanthocystidae,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Centrohelida,c:Acanthocystidae,o:Pterocystis		0	0	4360	0	0
d:Eukaryota,p:Centrohelida,c:Acanthocystidae,o:Choanocystis		0	0	4360	0	0
